  PRINCIPAL STRESSES:


  ELEMENT  R-COORD  Z-COORD      SIGMA 1        SIGMA 2        SIGMA 3        ANGLE 
    277     4.25   396.50     -0.205400E+01  -0.204934E+01  -0.540179E+01   0.595848E+01
    278     4.75   396.50     -0.205272E+01  -0.204659E+01  -0.538139E+01   0.663363E+01
    279     5.50   396.50     -0.205439E+01  -0.204636E+01  -0.535233E+01   0.765838E+01
    280     6.50   396.50     -0.205502E+01  -0.204383E+01  -0.530517E+01   0.899160E+01
    281     7.50   396.50     -0.205647E+01  -0.204078E+01  -0.525052E+01   0.103074E+02
    282     8.50   396.50     -0.205834E+01  -0.203899E+01  -0.519319E+01   0.116418E+02
    283    10.00   396.50     -0.206289E+01  -0.203625E+01  -0.509583E+01   0.135575E+02
    284    13.00   396.50     -0.206662E+01  -0.202680E+01  -0.487181E+01   0.171970E+02
    285    19.00   396.50     -0.205250E+01  -0.197907E+01  -0.433173E+01   0.234735E+02
    286    31.00   396.50     -0.204419E+01  -0.192352E+01  -0.341961E+01   0.316961E+02
    287    55.00   396.50     -0.214700E+01  -0.197746E+01  -0.264324E+01   0.296280E+02
    288   103.00   396.50     -0.207378E+01  -0.199071E+01  -0.240595E+01   0.664865E+01
    289     0.50   397.50     -0.201428E+01  -0.201375E+01  -0.558297E+01   0.731868E+00
    290     1.50   397.50     -0.201559E+01  -0.201412E+01  -0.557350E+01   0.217114E+01
    291     2.50   397.50     -0.201467E+01  -0.201255E+01  -0.555393E+01   0.362114E+01
    292     3.50   397.50     -0.201345E+01  -0.201045E+01  -0.552728E+01   0.508398E+01
    293     4.25   397.50     -0.201167E+01  -0.200767E+01  -0.550043E+01   0.616894E+01
    294     4.75   397.50     -0.201158E+01  -0.200623E+01  -0.548038E+01   0.687375E+01
    295     5.50   397.50     -0.201251E+01  -0.200411E+01  -0.544585E+01   0.793245E+01
    296     6.50   397.50     -0.201355E+01  -0.200118E+01  -0.539353E+01   0.932375E+01
