     ELEMENT   R-COORD  Z-COORD   MODULUS IN Z-DIR  MODULUS IN R-DIR
       388      3.50     403.50     0.938951E+04     0.938951E+04
       389      4.25     403.50     0.939868E+04     0.939868E+04
       390      4.75     403.50     0.940747E+04     0.940747E+04
       391      5.50     403.50     0.942080E+04     0.942080E+04
       392      6.50     403.50     0.943999E+04     0.943999E+04
       393      7.50     403.50     0.945631E+04     0.945631E+04
       394      8.50     403.50     0.947260E+04     0.947260E+04
       395     10.00     403.50     0.950009E+04     0.950009E+04
       396     13.00     403.50     0.956441E+04     0.956441E+04
       397     19.00     403.50     0.965292E+04     0.965292E+04
       398     31.00     403.50     0.957504E+04     0.957504E+04
       399     55.00     403.50     0.945401E+04     0.945401E+04
       400    103.00     403.50     0.954579E+04     0.954579E+04
       401      0.50     404.50     0.932958E+04     0.932958E+04
       402      1.50     404.50     0.933283E+04     0.933283E+04
       403      2.50     404.50     0.933895E+04     0.933895E+04
       404      3.50     404.50     0.935066E+04     0.935066E+04
       405      4.25     404.50     0.936056E+04     0.936056E+04
       406      4.75     404.50     0.936869E+04     0.936869E+04
       407      5.50     404.50     0.938276E+04     0.938276E+04
       408      6.50     404.50     0.940244E+04     0.940244E+04
       409      7.50     404.50     0.942372E+04     0.942372E+04
       410      8.50     404.50     0.944606E+04     0.944606E+04
       411     10.00     404.50     0.947750E+04     0.947750E+04
       412     13.00     404.50     0.955323E+04     0.955323E+04
       413     19.00     404.50     0.965614E+04     0.965614E+04
       414     31.00     404.50     0.957824E+04     0.957824E+04
       415     55.00     404.50     0.945026E+04     0.945026E+04
       416    103.00     404.50     0.954600E+04     0.954600E+04
       417      0.50     405.50     0.928047E+04     0.928047E+04
       418      1.50     405.50     0.928609E+04     0.928609E+04
       419      2.50     405.50     0.929400E+04     0.929400E+04
       420      3.50     405.50     0.930706E+04     0.930706E+04
       421      4.25     405.50     0.931961E+04     0.931961E+04
       422      4.75     405.50     0.932726E+04     0.932726E+04
