     COMPUTED NODAL POINT DISPLACEMENTS,
  NODE  R-COORD  Z-COORD  GRA DISP_R  GRA DISP_Z  SUR DISP_R  SUR DISP_Z
   220     8.50   352.00   0.688E-05  -0.186E+00   0.211E-03  -0.335E-02
   221     9.00   352.00   0.732E-05  -0.186E+00   0.223E-03  -0.334E-02
   222    10.00   352.00   0.821E-05  -0.186E+00   0.246E-03  -0.333E-02
   223    11.00   352.00   0.909E-05  -0.186E+00   0.269E-03  -0.332E-02
   224    13.00   352.00   0.108E-04  -0.186E+00   0.314E-03  -0.328E-02
   225    15.00   352.00   0.125E-04  -0.186E+00   0.357E-03  -0.324E-02
   226    19.00   352.00   0.157E-04  -0.186E+00   0.436E-03  -0.315E-02
   227    23.00   352.00   0.188E-04  -0.186E+00   0.506E-03  -0.304E-02
   228    31.00   352.00   0.244E-04  -0.186E+00   0.608E-03  -0.278E-02
   229    39.00   352.00   0.289E-04  -0.186E+00   0.669E-03  -0.250E-02
   230    55.00   352.00   0.339E-04  -0.186E+00   0.672E-03  -0.194E-02
   231    71.00   352.00   0.319E-04  -0.186E+00   0.571E-03  -0.148E-02
   232   103.00   352.00   0.209E-04  -0.186E+00   0.286E-03  -0.930E-03
   233   135.00   352.00   0.000E+00  -0.186E+00   0.000E+00  -0.742E-03
   234     0.00   360.00   0.000E+00  -0.188E+00   0.000E+00  -0.393E-02
   235     1.00   360.00   0.910E-06  -0.188E+00   0.328E-04  -0.393E-02
   236     2.00   360.00   0.181E-05  -0.188E+00   0.655E-04  -0.393E-02
   237     3.00   360.00   0.271E-05  -0.188E+00   0.980E-04  -0.392E-02
   238     4.00   360.00   0.358E-05  -0.188E+00   0.130E-03  -0.392E-02
   239     4.50   360.00   0.402E-05  -0.188E+00   0.146E-03  -0.391E-02
   240     5.00   360.00   0.448E-05  -0.188E+00   0.162E-03  -0.391E-02
   241     6.00   360.00   0.543E-05  -0.188E+00   0.194E-03  -0.390E-02
   242     7.00   360.00   0.640E-05  -0.188E+00   0.226E-03  -0.388E-02
   243     8.00   360.00   0.731E-05  -0.188E+00   0.257E-03  -0.387E-02
   244     9.00   360.00   0.819E-05  -0.188E+00   0.287E-03  -0.385E-02
   245    11.00   360.00   0.990E-05  -0.188E+00   0.346E-03  -0.381E-02
   246    15.00   360.00   0.133E-04  -0.188E+00   0.456E-03  -0.370E-02
   247    23.00   360.00   0.199E-04  -0.188E+00   0.634E-03  -0.343E-02
   248    39.00   360.00   0.311E-04  -0.188E+00   0.801E-03  -0.274E-02
   249    71.00   360.00   0.356E-04  -0.188E+00   0.633E-03  -0.150E-02
   250   135.00   360.00   0.000E+00  -0.187E+00   0.000E+00  -0.696E-03
   251     0.00   368.00   0.000E+00  -0.189E+00   0.000E+00  -0.461E-02
   252     0.50   368.00   0.479E-06  -0.189E+00   0.212E-04  -0.461E-02
   253     1.00   368.00   0.958E-06  -0.189E+00   0.423E-04  -0.461E-02
   254     1.50   368.00   0.144E-05  -0.189E+00   0.634E-04  -0.461E-02
   255     2.00   368.00   0.191E-05  -0.189E+00   0.845E-04  -0.460E-02
   256     2.50   368.00   0.238E-05  -0.189E+00   0.105E-03  -0.460E-02
