  STRESSES @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD      SIGMA R        SIGMA TH       SIGMA Z       SIGMA RZ
    173    19.00   389.50     -0.263892E+01  -0.237732E+01  -0.421380E+01   0.591365E+00
    174    31.00   389.50     -0.269070E+01  -0.232936E+01  -0.353485E+01   0.519206E+00
    175    55.00   389.50     -0.262523E+01  -0.236044E+01  -0.303050E+01   0.227413E+00
    176   103.00   389.50     -0.249225E+01  -0.239619E+01  -0.289592E+01   0.431230E-01
    177     0.50   390.50     -0.234385E+01  -0.234330E+01  -0.507501E+01   0.271580E-01
    178     1.50   390.50     -0.234595E+01  -0.234301E+01  -0.506785E+01   0.796391E-01
    179     2.50   390.50     -0.235031E+01  -0.234287E+01  -0.505504E+01   0.132596E+00
    180     3.50   390.50     -0.235731E+01  -0.234251E+01  -0.503512E+01   0.184925E+00
    181     4.25   390.50     -0.236407E+01  -0.234196E+01  -0.501552E+01   0.222493E+00
    182     4.75   390.50     -0.236943E+01  -0.234182E+01  -0.500123E+01   0.247663E+00
    183     5.50   390.50     -0.237897E+01  -0.234152E+01  -0.497596E+01   0.283074E+00
    184     6.50   390.50     -0.239204E+01  -0.234128E+01  -0.493866E+01   0.328049E+00
    185     7.50   390.50     -0.240602E+01  -0.234052E+01  -0.489611E+01   0.370243E+00
    186     8.50   390.50     -0.242216E+01  -0.233966E+01  -0.484829E+01   0.410555E+00
    187    10.00   390.50     -0.244910E+01  -0.233933E+01  -0.477011E+01   0.463284E+00
    188    13.00   390.50     -0.250914E+01  -0.233874E+01  -0.459127E+01   0.550545E+00
    189    19.00   390.50     -0.260141E+01  -0.232065E+01  -0.417886E+01   0.621206E+00
    190    31.00   390.50     -0.265047E+01  -0.227149E+01  -0.346800E+01   0.533587E+00
    191    55.00   390.50     -0.257395E+01  -0.230471E+01  -0.295732E+01   0.226144E+00
    192   103.00   390.50     -0.243218E+01  -0.233700E+01  -0.282358E+01   0.423720E-01
    193     0.50   391.50     -0.229249E+01  -0.229192E+01  -0.511769E+01   0.291977E-01
    194     1.50   391.50     -0.229524E+01  -0.229203E+01  -0.511060E+01   0.854097E-01
    195     2.50   391.50     -0.229962E+01  -0.229128E+01  -0.509609E+01   0.141791E+00
    196     3.50   391.50     -0.230673E+01  -0.229042E+01  -0.507450E+01   0.197713E+00
    197     4.25   391.50     -0.231422E+01  -0.228988E+01  -0.505318E+01   0.238188E+00
    198     4.75   391.50     -0.232003E+01  -0.228942E+01  -0.503636E+01   0.264994E+00
    199     5.50   391.50     -0.232897E+01  -0.228852E+01  -0.500877E+01   0.302911E+00
    200     6.50   391.50     -0.234379E+01  -0.228811E+01  -0.496786E+01   0.350724E+00
    201     7.50   391.50     -0.235945E+01  -0.228714E+01  -0.492061E+01   0.395051E+00
    202     8.50   391.50     -0.237695E+01  -0.228682E+01  -0.486934E+01   0.437807E+00
    203    10.00   391.50     -0.240635E+01  -0.228600E+01  -0.478304E+01   0.493403E+00
    204    13.00   391.50     -0.247056E+01  -0.228551E+01  -0.458938E+01   0.583594E+00
    205    19.00   391.50     -0.256546E+01  -0.226393E+01  -0.414446E+01   0.652486E+00
    206    31.00   391.50     -0.261198E+01  -0.221460E+01  -0.340132E+01   0.547788E+00
    207    55.00   391.50     -0.252420E+01  -0.225070E+01  -0.288597E+01   0.224940E+00
    208   103.00   391.50     -0.237275E+01  -0.227855E+01  -0.275219E+01   0.417328E-01
    209     0.50   392.50     -0.224029E+01  -0.223958E+01  -0.516879E+01   0.310994E-01
    210     1.50   392.50     -0.224376E+01  -0.224007E+01  -0.516096E+01   0.921356E-01
    211     2.50   392.50     -0.224911E+01  -0.223926E+01  -0.514419E+01   0.152911E+00
    212     3.50   392.50     -0.225758E+01  -0.223901E+01  -0.512055E+01   0.212922E+00
    213     4.25   392.50     -0.226544E+01  -0.223819E+01  -0.509679E+01   0.257134E+00
    214     4.75   392.50     -0.227097E+01  -0.223730E+01  -0.507816E+01   0.284689E+00
    215     5.50   392.50     -0.228140E+01  -0.223698E+01  -0.504851E+01   0.324715E+00
    216     6.50   392.50     -0.229753E+01  -0.223642E+01  -0.500332E+01   0.376274E+00
    217     7.50   392.50     -0.231512E+01  -0.223541E+01  -0.495175E+01   0.423070E+00
    218     8.50   392.50     -0.233377E+01  -0.223454E+01  -0.489524E+01   0.468262E+00
    219    10.00   392.50     -0.236641E+01  -0.223442E+01  -0.480209E+01   0.526832E+00
    220    13.00   392.50     -0.243321E+01  -0.223210E+01  -0.458962E+01   0.619545E+00
    221    19.00   392.50     -0.252985E+01  -0.220582E+01  -0.410871E+01   0.685007E+00
    222    31.00   392.50     -0.257296E+01  -0.215642E+01  -0.333189E+01   0.561636E+00
    223    55.00   392.50     -0.247365E+01  -0.219610E+01  -0.281366E+01   0.223505E+00
    224   103.00   392.50     -0.231341E+01  -0.222031E+01  -0.268111E+01   0.411733E-01
    225     0.50   393.50     -0.219094E+01  -0.218999E+01  -0.523107E+01   0.338232E-01
    226     1.50   393.50     -0.219460E+01  -0.219047E+01  -0.522190E+01   0.989427E-01
    227     2.50   393.50     -0.220089E+01  -0.218975E+01  -0.520342E+01   0.164739E+00
    228     3.50   393.50     -0.221012E+01  -0.218872E+01  -0.517531E+01   0.228363E+00
    229     4.25   393.50     -0.221751E+01  -0.218720E+01  -0.514849E+01   0.275901E+00
    230     4.75   393.50     -0.222340E+01  -0.218636E+01  -0.512866E+01   0.305178E+00
    231     5.50   393.50     -0.223566E+01  -0.218619E+01  -0.509559E+01   0.348694E+00
    232     6.50   393.50     -0.225343E+01  -0.218608E+01  -0.504643E+01   0.403594E+00
    233     7.50   393.50     -0.227117E+01  -0.218399E+01  -0.498920E+01   0.453680E+00
    234     8.50   393.50     -0.229302E+01  -0.218355E+01  -0.492722E+01   0.500682E+00
    235    10.00   393.50     -0.232816E+01  -0.218297E+01  -0.482467E+01   0.562967E+00
    236    13.00   393.50     -0.239739E+01  -0.217856E+01  -0.459242E+01   0.658423E+00
    237    19.00   393.50     -0.249547E+01  -0.214707E+01  -0.407215E+01   0.719094E+00
    238    31.00   393.50     -0.253364E+01  -0.209717E+01  -0.325983E+01   0.575226E+00
    239    55.00   393.50     -0.242155E+01  -0.214020E+01  -0.273953E+01   0.221770E+00
    240   103.00   393.50     -0.225479E+01  -0.216292E+01  -0.261113E+01   0.405191E-01
    241     0.50   394.50     -0.214350E+01  -0.214288E+01  -0.530118E+01   0.362367E-01
    242     1.50   394.50     -0.214759E+01  -0.214323E+01  -0.529231E+01   0.106037E+00
    243     2.50   394.50     -0.215369E+01  -0.214166E+01  -0.527065E+01   0.177596E+00
    244     3.50   394.50     -0.216410E+01  -0.214047E+01  -0.523960E+01   0.246162E+00
    245     4.25   394.50     -0.217236E+01  -0.213851E+01  -0.520964E+01   0.296252E+00
    246     4.75   394.50     -0.217957E+01  -0.213795E+01  -0.518775E+01   0.328591E+00
    247     5.50   394.50     -0.219197E+01  -0.213731E+01  -0.515164E+01   0.375224E+00
    248     6.50   394.50     -0.221059E+01  -0.213599E+01  -0.509636E+01   0.433006E+00
    249     7.50   394.50     -0.223103E+01  -0.213490E+01  -0.503486E+01   0.486307E+00
    250     8.50   394.50     -0.225415E+01  -0.213373E+01  -0.496623E+01   0.536349E+00
    251    10.00   394.50     -0.229318E+01  -0.213327E+01  -0.485378E+01   0.602194E+00
    252    13.00   394.50     -0.236581E+01  -0.212735E+01  -0.460092E+01   0.700623E+00
    253    19.00   394.50     -0.246532E+01  -0.209046E+01  -0.403793E+01   0.755112E+00
    254    31.00   394.50     -0.249574E+01  -0.203860E+01  -0.318717E+01   0.588595E+00
    255    55.00   394.50     -0.236957E+01  -0.208471E+01  -0.266569E+01   0.219580E+00
