  STRAINS @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD       EPS R          EPS TH         EPS Z         EPS RZ
    185     7.50   390.50      0.880106E-04   0.980842E-04  -0.209432E-03   0.112733E-03
    186     8.50   390.50      0.840337E-04   0.966706E-04  -0.203709E-03   0.124843E-03
    187    10.00   390.50      0.774609E-04   0.942933E-04  -0.194232E-03   0.141121E-03
    188    13.00   390.50      0.629220E-04   0.887682E-04  -0.172902E-03   0.166398E-03
    189    19.00   390.50      0.330730E-04   0.757572E-04  -0.126515E-03   0.188546E-03
    190    31.00   390.50     -0.793148E-05   0.498345E-04  -0.521417E-04   0.161581E-03
    191    55.00   390.50     -0.221560E-04   0.187998E-04  -0.121956E-05   0.672886E-04
    192   103.00   390.50     -0.109140E-04   0.258645E-05   0.608503E-05   0.102399E-04
    193     0.50   391.50      0.108252E-03   0.108334E-03  -0.242389E-03   0.876817E-05
    194     1.50   391.50      0.107618E-03   0.108123E-03  -0.241494E-03   0.261823E-04
    195     2.50   391.50      0.106328E-03   0.107694E-03  -0.239668E-03   0.433676E-04
    196     3.50   391.50      0.104450E-03   0.107055E-03  -0.236997E-03   0.601832E-04
    197     4.25   391.50      0.102687E-03   0.106447E-03  -0.234464E-03   0.724287E-04
    198     4.75   391.50      0.101329E-03   0.105982E-03  -0.232533E-03   0.804130E-04
    199     5.50   391.50      0.990148E-04   0.105195E-03  -0.229258E-03   0.919656E-04
    200     6.50   391.50      0.954962E-04   0.103983E-03  -0.224233E-03   0.106684E-03
    201     7.50   391.50      0.915487E-04   0.102594E-03  -0.218567E-03   0.120468E-03
    202     8.50   391.50      0.872257E-04   0.101046E-03  -0.212341E-03   0.133295E-03
    203    10.00   391.50      0.800779E-04   0.984493E-04  -0.202011E-03   0.150378E-03
    204    13.00   391.50      0.643514E-04   0.924305E-04  -0.178870E-03   0.176533E-03
    205    19.00   391.50      0.325071E-04   0.783659E-04  -0.129106E-03   0.197928E-03
    206    31.00   391.50     -0.974595E-05   0.508329E-04  -0.514617E-04   0.165981E-03
    207    55.00   391.50     -0.228764E-04   0.187694E-04  -0.496138E-06   0.668977E-04
    208   103.00   391.50     -0.108059E-04   0.254196E-05   0.605240E-05   0.999603E-05
    209     0.50   392.50      0.113624E-03   0.113718E-03  -0.254499E-03   0.939614E-05
    210     1.50   392.50      0.112911E-03   0.113478E-03  -0.253490E-03   0.281410E-04
    211     2.50   392.50      0.111488E-03   0.113001E-03  -0.251472E-03   0.466163E-04
    212     3.50   392.50      0.109417E-03   0.112294E-03  -0.248522E-03   0.646169E-04
    213     4.25   392.50      0.107481E-03   0.111624E-03  -0.245737E-03   0.777724E-04
    214     4.75   392.50      0.105983E-03   0.111111E-03  -0.243604E-03   0.862663E-04
    215     5.50   392.50      0.103452E-03   0.110245E-03  -0.240017E-03   0.986369E-04
    216     6.50   392.50      0.996090E-04   0.108914E-03  -0.234521E-03   0.114329E-03
    217     7.50   392.50      0.952665E-04   0.107392E-03  -0.228280E-03   0.128941E-03
    218     8.50   392.50      0.905375E-04   0.105692E-03  -0.221444E-03   0.142484E-03
    219    10.00   392.50      0.827633E-04   0.102849E-03  -0.210184E-03   0.160430E-03
    220    13.00   392.50      0.657335E-04   0.962821E-04  -0.185035E-03   0.187427E-03
    221    19.00   392.50      0.317662E-04   0.810640E-04  -0.131630E-03   0.207802E-03
    222    31.00   392.50     -0.116898E-04   0.518159E-04  -0.506370E-04   0.170342E-03
    223    55.00   392.50     -0.235866E-04   0.187162E-04   0.239899E-06   0.664073E-04
    224   103.00   392.50     -0.106847E-04   0.249510E-05   0.601106E-05   0.974845E-05
    225     0.50   393.50      0.119353E-03   0.119462E-03  -0.267452E-03   0.101198E-04
    226     1.50   393.50      0.118571E-03   0.119190E-03  -0.266335E-03   0.302952E-04
    227     2.50   393.50      0.117022E-03   0.118671E-03  -0.264135E-03   0.501893E-04
    228     3.50   393.50      0.114732E-03   0.117898E-03  -0.260878E-03   0.695062E-04
    229     4.25   393.50      0.112589E-03   0.117158E-03  -0.257792E-03   0.835860E-04
    230     4.75   393.50      0.110939E-03   0.116593E-03  -0.255441E-03   0.927176E-04
    231     5.50   393.50      0.108137E-03   0.115637E-03  -0.251468E-03   0.105946E-03
    232     6.50   393.50      0.103928E-03   0.114170E-03  -0.245435E-03   0.122672E-03
    233     7.50   393.50      0.991832E-04   0.112497E-03  -0.238606E-03   0.138217E-03
    234     8.50   393.50      0.939829E-04   0.110630E-03  -0.231080E-03   0.152482E-03
    235    10.00   393.50      0.855060E-04   0.107511E-03  -0.218766E-03   0.171333E-03
    236    13.00   393.50      0.670482E-04   0.100333E-03  -0.191390E-03   0.199137E-03
    237    19.00   393.50      0.308270E-04   0.838505E-04  -0.134065E-03   0.218184E-03
    238    31.00   393.50     -0.137668E-04   0.527775E-04  -0.496548E-04   0.174637E-03
    239    55.00   393.50     -0.242820E-04   0.186392E-04   0.986156E-06   0.658116E-04
    240   103.00   393.50     -0.105500E-04   0.244586E-05   0.596059E-05   0.949728E-05
    241     0.50   394.50      0.125483E-03   0.125596E-03  -0.281351E-03   0.109310E-04
    242     1.50   394.50      0.124630E-03   0.125307E-03  -0.280139E-03   0.326656E-04
    243     2.50   394.50      0.122943E-03   0.124739E-03  -0.277746E-03   0.540847E-04
    244     3.50   394.50      0.120413E-03   0.123895E-03  -0.274151E-03   0.748960E-04
    245     4.25   394.50      0.118026E-03   0.123078E-03  -0.270714E-03   0.899848E-04
    246     4.75   394.50      0.116201E-03   0.122453E-03  -0.268107E-03   0.997679E-04
    247     5.50   394.50      0.113125E-03   0.121397E-03  -0.263731E-03   0.113952E-03
