

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                 0438      |      (-1.989e-04, -9.387e-02)
                 0439      |      (-1.586e-04, -9.348e-02)
                 0440      |      (-1.167e-04, -9.318e-02)
                 0441      |      (-7.547e-05, -9.297e-02)
                 0442      |      (-3.630e-05, -9.285e-02)
                 0443      |      (0.000e+00, -9.281e-02)
                 0444      |      (0.000e+00, -9.677e-02)
                 0445      |      (-4.661e-06, -9.677e-02)
                 0446      |      (-9.627e-06, -9.675e-02)
                 0447      |      (-1.516e-05, -9.671e-02)
                 0448      |      (-2.211e-05, -9.667e-02)
                 0449      |      (-3.105e-05, -9.661e-02)
                 0450      |      (-4.254e-05, -9.655e-02)
                 0451      |      (-5.741e-05, -9.648e-02)
                 0452      |      (-7.395e-05, -9.642e-02)
                 0453      |      (-9.007e-05, -9.635e-02)
                 0454      |      (-1.056e-04, -9.630e-02)
                 0455      |      (-1.199e-04, -9.624e-02)
                 0456      |      (-1.328e-04, -9.618e-02)
                 0457      |      (-1.443e-04, -9.613e-02)
                 0458      |      (-1.546e-04, -9.608e-02)
                 0459      |      (-1.638e-04, -9.602e-02)
                 0460      |      (-1.720e-04, -9.597e-02)
                 0461      |      (-1.793e-04, -9.592e-02)
                 0462      |      (-1.859e-04, -9.587e-02)
                 0463      |      (-1.917e-04, -9.581e-02)
                 0464      |      (-1.969e-04, -9.576e-02)
                 0465      |      (-2.015e-04, -9.571e-02)
                 0466      |      (-2.056e-04, -9.566e-02)
                 0467      |      (-2.092e-04, -9.560e-02)
                 0468      |      (-2.123e-04, -9.555e-02)
                 0469      |      (-2.162e-04, -9.547e-02)
                 0470      |      (-2.193e-04, -9.539e-02)
                 0471      |      (-2.215e-04, -9.531e-02)
                 0472      |      (-2.231e-04, -9.524e-02)
                 0473      |      (-2.241e-04, -9.516e-02)
                 0474      |      (-2.245e-04, -9.508e-02)
                 0475      |      (-2.244e-04, -9.501e-02)
                 0476      |      (-2.238e-04, -9.493e-02)
                 0477      |      (-2.215e-04, -9.478e-02)
                 0478      |      (-2.177e-04, -9.464e-02)
                 0479      |      (-2.128e-04, -9.450e-02)
                 0480      |      (-2.069e-04, -9.436e-02)
                 0481      |      (-1.930e-04, -9.411e-02)
                 0482      |      (-1.769e-04, -9.387e-02)
                 0483      |      (-1.595e-04, -9.366e-02)
                 0484      |      (-1.412e-04, -9.348e-02)
                 0485      |      (-1.226e-04, -9.332e-02)
                 0486      |      (-1.040e-04, -9.318e-02)
                 0487      |      (-8.545e-05, -9.306e-02)
                 0488      |      (-6.726e-05, -9.297e-02)
                 0489      |      (-4.954e-05, -9.290e-02)
                 0490      |      (-3.236e-05, -9.285e-02)
                 0491      |      (-1.584e-05, -9.282e-02)
                 0492      |      (0.000e+00, -9.281e-02)
                 0493      |      (0.000e+00, -9.674e-02)
                 0494      |      (-5.240e-06, -9.672e-02)
                 0495      |      (-1.400e-05, -9.665e-02)
                 0496      |      (-3.065e-05, -9.654e-02)
                 0497      |      (-5.730e-05, -9.641e-02)
                 0498      |      (-8.519e-05, -9.630e-02)
                 0499      |      (-1.100e-04, -9.619e-02)
                 0500      |      (-1.302e-04, -9.608e-02)
                 0501      |      (-1.464e-04, -9.597e-02)
                 0502      |      (-1.594e-04, -9.587e-02)
                 0503      |      (-1.696e-04, -9.576e-02)
                 0504      |      (-1.777e-04, -9.566e-02)
                 0505      |      (-1.840e-04, -9.555e-02)
                 0506      |      (-1.905e-04, -9.539e-02)
                 0507      |      (-1.942e-04, -9.524e-02)
                 0508      |      (-1.957e-04, -9.508e-02)
                 0509      |      (-1.953e-04, -9.493e-02)
                 0510      |      (-1.903e-04, -9.464e-02)
                 0511      |      (-1.811e-04, -9.436e-02)
                 0512      |      (-1.551e-04, -9.387e-02)
                 0513      |      (-1.239e-04, -9.348e-02)
                 0514      |      (-9.127e-05, -9.318e-02)
                 0515      |      (-5.907e-05, -9.297e-02)
                 0516      |      (-2.843e-05, -9.285e-02)
                 0517      |      (0.000e+00, -9.281e-02)
