

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                 0497      |      (-4.788e-05, -7.379e-04)
                 0498      |      (-4.088e-05, -6.748e-04)
                 0499      |      (-3.385e-05, -6.233e-04)
                 0500      |      (-2.565e-05, -5.760e-04)
                 0501      |      (-1.764e-05, -5.424e-04)
                 0502      |      (-8.573e-06, -5.187e-04)
                 0503      |      (0.000e+00, -5.111e-04)
                 0504      |      (0.000e+00, -2.844e-03)
                 0505      |      (-3.638e-06, -2.842e-03)
                 0506      |      (-7.234e-06, -2.836e-03)
                 0507      |      (-1.074e-05, -2.827e-03)
                 0508      |      (-1.412e-05, -2.813e-03)
                 0509      |      (-1.732e-05, -2.796e-03)
                 0510      |      (-2.029e-05, -2.775e-03)
                 0511      |      (-2.300e-05, -2.750e-03)
                 0512      |      (-2.539e-05, -2.722e-03)
                 0513      |      (-2.745e-05, -2.690e-03)
                 0514      |      (-2.916e-05, -2.654e-03)
                 0515      |      (-3.057e-05, -2.615e-03)
                 0516      |      (-3.181e-05, -2.572e-03)
                 0517      |      (-3.312e-05, -2.526e-03)
                 0518      |      (-3.486e-05, -2.478e-03)
                 0519      |      (-3.737e-05, -2.427e-03)
                 0520      |      (-4.766e-05, -2.293e-03)
                 0521      |      (-5.930e-05, -2.148e-03)
                 0522      |      (-6.768e-05, -1.995e-03)
                 0523      |      (-7.250e-05, -1.836e-03)
                 0524      |      (-7.457e-05, -1.673e-03)
                 0525      |      (-7.447e-05, -1.508e-03)
                 0526      |      (-7.250e-05, -1.343e-03)
                 0527      |      (-6.874e-05, -1.181e-03)
                 0528      |      (-6.301e-05, -1.024e-03)
                 0529      |      (-5.504e-05, -8.743e-04)
